Großregion;1981-2021: Mittelwert in mm;2007-2021: Anstieg pro Jahr in mm;2007-2021: Ansteig pro Jahr in % *
Naher Osten;155;11,6;7,50%
Zentralasien;120;7,7;6,40%
Polarregionen;113;2,9;2,60%
Nordamerika;219;2,3;1,10%
Europa;186;1,3;0,70%
Westafrika;253;0,1;0,00%
Südamerika;291;-0,6;-0,20%
Südost-Asien;453;-3,8;-0,80%
Karibik;330;-3,1;-0,90%
