"year","count","rx5day_average"
1981,85,54
1982,85,57
1983,92,48
1984,98,41
1985,98,44
1986,96,43
1987,102,39
1988,40,41
1989,98,50
1990,98,44
1991,99,46
1992,96,47
1993,98,49
1994,93,65
1995,102,44
1996,103,46
1997,107,38
1998,103,39
1999,100,39
2000,92,36
2001,98,35
2002,95,43
2003,100,41
2004,102,38
2005,96,39
2006,91,42
2007,91,38
2008,97,36
2009,97,34
2010,96,35
2011,95,33
2012,100,34
2013,111,33
2014,114,39
2015,107,41
2016,111,39
2017,114,45
2018,107,47
2019,113,44
2020,107,36
2021,98,33
