Großregion;1981-2021: Mittelwert;1981-2021: Anstieg pro Jahr in mm;1981-2021: Anstieg pro Jahr in % *
Naher Osten;43,5;0,5;1,20%
Nordamerika;55,1;0,1;0,10%
Südostasien;119;0,1;0,10%
Westafrika;98,7;-0,3;-0,30%
Südamerika;88,8;-0,4;-0,40%
Europa;51,8;-0,5;-0,90%
Karibik;88,4;-0,9;-1,00%
Polarregionen;27,9;-0,3;-1,00%
Zentralasien;40,1;-0,7;-1,80%
