Großregion;1981-2021: Mittelwert in mm;1981-2021: Anstieg pro Jahr in mm;1981-2021: Ansteig pro Jahr in % *
Naher Osten;180;5,1;2,80%
Zentralasien;115;0,5;0,40%
Polarregionen;84;0,4;0,40%
Europa;105;-0,6;-0,50%
Nordamerika;132;0,1;0,00%
Südamerika;207;-0,5;-0,20%
Karibik;236;-2;-0,80%
Westafrika;230;-1,5;-0,60%
Südost-Asien;241;0,6;0,30%
