Großregion;1981-2021: Mittelwert in mm;1981-2021: Anstieg pro Jahr in mm;1981-2021: Anstieg pro Jahr in % *
Naher Osten;155;3,8;2,4%
Zentralasien;120;0,2;0,2%
Polarregionen;113;0,3;0,2%
Nordamerika;219;0,5;0,2%
Europa;186;0,2;0,1%
Westafrika;253;-0,2;-0,1%
Südamerika;291;0,6;0,2%
Südost-Asien;453;2,9;0,6%
Karibik;330;-2,2;-0,7%
