Großregion;1981-2021: Mittelwert in mm;1981-2021: Anstieg pro Jahr in mm;1981-2021: Anstieg pro Jahr in % *
Naher Osten;53,9;1,1;2,00%
Südost-Asien;199,5;1;0,50%
Nordamerika;87;0,2;0,30%
Westafrika;131,9;0,2;0,10%
Südamerika;121,6;-0,1;-0,10%
Europa;81,9;-0,3;-0,30%
Karibik;127,8;-0,7;-0,50%
Polarregionen;41,8;-0,3;-0,70%
Zentralasien;54,3;-0,5;-0,90%
