"37496099999,""41.65"",""41.633"",""-999"",""BOGUS SOVIET"",""RUSSIA"",""1955"",""1964"",""8"",""12"""
"40438099999,""24.709833"",""46.725166"",""634.59"",""RIYADH AB"",""SAUDI ARABIA"",""1958"",""2004"",""11"",""12"""
"40438099999,""24.721944"",""46.724722"",""635.2"",""KING SALMAN AB"",""SAUDI ARABIA"",""1973"",""2021"",""46"",""12"""
"41246099999,""24.4666666"",""56.65"",""2"",""SOHAR MAJIS"",""OMAN"",""1983"",""2021"",""38"",""12"""
"41246099999,""24.4666667"",""56.6333333"",""4"",""SOHAR MAJIS"",""OMAN"",""2004"",""2004"",""1"",""12"""
"41254099999,""23.0666667"",""57.6333333"",""1755"",""SAIQ"",""OMAN"",""1983"",""2020"",""36"",""12"""
"41254099999,""23.0666667"",""57.6333333"",""1981"",""SAIQ"",""OMAN"",""2021"",""2021"",""1"",""5"""
"41508099999,""35.2"",""71.85"",""1369"",""DIR"",""PAKISTAN"",""2021"",""2021"",""1"",""8"""
"41508099999,""35.2"",""71.85"",""1370"",""DIR"",""PAKISTAN"",""1980"",""2020"",""22"",""12"""
"41600099999,""32.5"",""74.5333333"",""250"",""SIALKOT CITY"",""PAKISTAN"",""2021"",""2021"",""1"",""5"""
"41600099999,""32.5"",""74.5333333"",""256"",""SIALKOT"",""PAKISTAN"",""1973"",""2020"",""33"",""12"""
"41640099999,""31.55"",""74.3333333"",""214"",""LAHORE CITY"",""PAKISTAN"",""2021"",""2021"",""1"",""8"""
"41640099999,""31.55"",""74.3333333"",""215"",""LAHORE CITY"",""PAKISTAN"",""1957"",""2020"",""52"",""12"""
"41685099999,""29.8833333"",""69.7166666"",""1097"",""BAR KHAN"",""PAKISTAN"",""2021"",""2021"",""1"",""8"""
"41685099999,""29.8833333"",""69.7166666"",""1098"",""BAR KHAN"",""PAKISTAN"",""1973"",""2020"",""48"",""12"""
"41700099999,""29.4"",""71.7833333"",""112"",""BAHAWALPUR CITY"",""PAKISTAN"",""2021"",""2021"",""1"",""8"""
"41700099999,""29.4"",""71.7833333"",""113"",""BAHAWALPUR"",""PAKISTAN"",""1975"",""2020"",""28"",""12"""
"41725099999,""27.6666666"",""68.9"",""67"",""ROHRI"",""PAKISTAN"",""2021"",""2021"",""1"",""5"""
"41725099999,""27.6666666"",""68.9"",""68"",""ROHRI"",""PAKISTAN"",""1973"",""2020"",""32"",""12"""
"41746099999,""26.85"",""68.1333333"",""46"",""PADIDAN"",""PAKISTAN"",""2021"",""2021"",""1"",""5"""
"41746099999,""26.85"",""68.1333333"",""47"",""PADIDAN"",""PAKISTAN"",""1973"",""2020"",""33"",""12"""
"41785099999,""24.6333333"",""68.9"",""10"",""BADIN"",""PAKISTAN"",""2021"",""2021"",""1"",""8"""
"41785099999,""24.6333333"",""68.9"",""11"",""BADIN"",""PAKISTAN"",""1973"",""2020"",""29"",""12"""
"42475099999,""25.440064"",""81.733872"",""98.15"",""ALLAHABAD AIRPORT"",""INDIA"",""1942"",""2021"",""47"",""12"""
"42475099999,""25.440575"",""81.735444"",""98.14"",""ALLAHABAD"",""INDIA"",""1943"",""2004"",""7"",""12"""
"47642043313,""35.75"",""139.35"",""139.3"",""FUSSA YOKOTA AB"",""JAPAN"",""1999"",""2021"",""15"",""12"""
"47642043313,""35.75"",""139.35"",""142"",""YOKOTA AB"",""JAPAN"",""2005"",""2012"",""3"",""12"""
"60220099999,""31.399181"",""-9.682992"",""128.02"",""ESSAOUIRA"",""MOROCCO"",""1973"",""2021"",""47"",""12"""
"60220099999,""31.5166666"",""-9.7833333"",""8"",""ESSAOUIRA"",""MOROCCO"",""1965"",""2004"",""4"",""12"""
"64463099999,""-5.5833333"",""14.8166666"",""438"",""EWO"",""CONGO"",""2011"",""2020"",""10"",""12"""
"64463099999,""-0.883"",""14.8166666"",""438"",""EWO"",""CONGO"",""2021"",""2021"",""1"",""5"""
"67346099999,""-26.3"",""32.18"",""100"",""CHANGALANE AUTO"",""MOZAMBIQUE"",""1995"",""2017"",""12"",""12"""
"67346099999,""-26.2833333"",""32.1833333"",""104"",""CHANGALANE"",""MOZAMBIQUE"",""1980"",""2004"",""17"",""12"""
"68054099999,""-21.159597"",""27.474525"",""1000.65"",""FRANCISTOWN"",""BOTSWANA"",""1973"",""2020"",""48"",""12"""
"68054099999,""-21.159136"",""27.468492"",""1010"",""P.G. MATANTE INTERNATIONAL AIRPORT"",""BOTSWANA"",""2021"",""2021"",""1"",""7"""
"68396099999,""-26.529022"",""31.307519"",""632.46"",""MATSAPHA"",""SWAZILAND"",""2004"",""2004"",""1"",""12"""
"68396099999,""-26.529022"",""31.307519"",""633.37"",""MATSAPHA"",""SWAZILAND"",""1979"",""2020"",""35"",""12"""
"70026027502,""71.2834"",""-156.7815"",""9.4"",""BARROW AIRPORT"",""UNITED STATES"",""1973"",""2021"",""48"",""12"""
"70026027502,""71.2834"",""-156.7815"",""9.4"",""BARROW WEATHER SERVICE OFFICE AIRPORT"",""UNITED STATES"",""1945"",""2004"",""29"",""12"""
"70063199999,""57.0666667"",""-135.3666667"",""15"",""ATKA"",""UNITED STATES"",""2004"",""2004"",""1"",""6"""
"70063199999,""60.872389"",""-146.691167"",""18.86"",""TATITLEK"",""UNITED STATES"",""2005"",""2005"",""1"",""12"""
"70063727406,""70.1917"",""-148.4772"",""18.6"",""DEADHORSE"",""UNITED STATES"",""1973"",""2021"",""45"",""12"""
"70063727406,""70.1917"",""-148.4772"",""18.6"",""DEADHORSE AIRPORT"",""UNITED STATES"",""2004"",""2004"",""1"",""12"""
"70133026616,""66.86667"",""-162.63333"",""9.1"",""KOTZEBUE RALPH WEIN MEMORIAL AIRPORT"",""UNITED STATES"",""2004"",""2004"",""1"",""12"""
"70133026616,""66.8667"",""-162.6333"",""9.1"",""KOTZEBUE AIRPORT"",""UNITED STATES"",""1973"",""2021"",""48"",""12"""
"70174026533,""66.9169"",""-151.5154"",""196"",""BETTLES AIRPORT"",""UNITED STATES"",""1945"",""2004"",""8"",""12"""
"70174026533,""66.9175"",""-151.5189"",""193.2"",""BETTLES AIRPORT"",""UNITED STATES"",""1995"",""2021"",""18"",""12"""
"70178026529,""65.175"",""-152.1067"",""67.7"",""TANANA AIRPORT"",""UNITED STATES"",""1973"",""2021"",""48"",""12"""
"70178026529,""65.175"",""-152.1067"",""67.7"",""TANANA CALHOUN MEMORIAL AIRPORT"",""UNITED STATES"",""1943"",""2004"",""4"",""12"""
"70200026617,""64.5111"",""-165.44"",""4"",""NOME AIRPORT"",""UNITED STATES"",""1973"",""2021"",""48"",""12"""
"70200026617,""64.5111"",""-165.44"",""4"",""NOME MUNICIPAL AIRPORT"",""UNITED STATES"",""1940"",""2004"",""8"",""12"""
"70259026523,""60.5797"",""-151.2391"",""27.7"",""KENAI AIRPORT"",""UNITED STATES"",""1973"",""2021"",""48"",""12"""
"70259026523,""60.5797"",""-151.2391"",""27.7"",""KENAI MUNICIPAL AIRPORT"",""UNITED STATES"",""2004"",""2004"",""1"",""12"""
"70274025331,""61.5961"",""-149.0916"",""70.1"",""PALMER AIRPORT"",""UNITED STATES"",""1999"",""2021"",""22"",""12"""
"70274025331,""61.5961"",""-149.0916"",""70.1"",""PALMER MUNICIPAL AIRPORT"",""UNITED STATES"",""2004"",""2004"",""1"",""12"""
"70291026412,""62.9617"",""-141.9878"",""522.1"",""NORTHWAY AIRPORT"",""UNITED STATES"",""1973"",""2021"",""47"",""12"""
"70291026412,""62.9617"",""-141.9378"",""522.1"",""NORTHWAY AIRPORT"",""UNITED STATES"",""1945"",""2004"",""28"",""12"""
"70296026410,""60.4888"",""-145.4511"",""9.4"",""CORDOVA AIRPORT"",""UNITED STATES"",""1973"",""2021"",""48"",""12"""
"70296026410,""60.4888"",""-145.4511"",""9.4"",""CORDOVA M K SMITH AIRPORT"",""UNITED STATES"",""1942"",""2004"",""31"",""12"""
"70308025713,""57.1552"",""-170.2222"",""10.7"",""SAINT PAUL ISLAND AIRPORT"",""UNITED STATES"",""1973"",""2021"",""48"",""12"""
