"year","count","rx1day_average"
1981,274,144
1982,270,120
1983,298,112
1984,294,110
1985,290,102
1986,304,106
1987,303,105
1988,306,106
1989,284,112
1990,290,118
1991,290,118
1992,292,144
1993,346,124
1994,345,142
1995,374,118
1996,378,119
1997,379,106
1998,378,118
1999,179,68
2000,350,118
2001,350,104
2002,364,110
2003,376,116
2004,377,107
2005,375,127
2006,379,123
2007,383,123
2008,383,131
2009,383,127
2010,384,125
2011,384,127
2012,384,122
2013,364,124
2014,371,116
2015,384,116
2016,384,124
2017,379,127
2018,380,120
2019,382,113
2020,382,116
2021,378,119
